recv_ns,trade_us,event_us,symbol,price,qty,is_sell
1772524727805531000,1772524730512787,1772524730513189,BTCUSDT,68180.62000000,0.00044000,0
1772524728091885400,1772524730800480,1772524730800778,BTCUSDT,68180.61000000,0.00014000,1
1772524728186306500,1772524730895116,1772524730895380,BTCUSDT,68180.61000000,0.03550000,1
1772524728236572000,1772524730945041,1772524730945455,BTCUSDT,68180.61000000,0.07561000,1
1772524729351458700,1772524732052645,1772524732053054,BTCUSDT,68180.62000000,0.16377000,0
1772524729842879100,1772524732551675,1772524732551951,BTCUSDT,68180.61000000,0.00012000,1
1772524729855405800,1772524732564491,1772524732564778,BTCUSDT,68180.61000000,0.08526000,1
1772524730299376300,1772524733008387,1772524733008661,BTCUSDT,68180.62000000,0.00106000,0
1772524730507838100,1772524733215823,1772524733216210,BTCUSDT,68180.62000000,0.02933000,0
1772524730984915300,1772524733692814,1772524733693365,BTCUSDT,68180.62000000,0.00400000,0
1772524730992174600,1772524733700912,1772524733701287,BTCUSDT,68180.62000000,0.00400000,0
1772524731254163000,1772524733958269,1772524733958650,BTCUSDT,68180.62000000,0.01762000,0
1772524731296895100,1772524734004657,1772524734004961,BTCUSDT,68180.62000000,0.00280000,0
1772524731333229400,1772524734038691,1772524734039076,BTCUSDT,68180.62000000,0.02940000,0
1772524731333319700,1772524734038902,1772524734039628,BTCUSDT,68180.62000000,0.21225000,0
1772524731333363100,1772524734038902,1772524734039632,BTCUSDT,68180.63000000,0.00033000,0
1772524731333401400,1772524734038902,1772524734039633,BTCUSDT,68180.69000000,0.00008000,0
1772524731333442500,1772524734039169,1772524734039924,BTCUSDT,68181.66000000,0.00008000,0
1772524731333514100,1772524734039169,1772524734039928,BTCUSDT,68181.67000000,0.00008000,0
1772524731333553700,1772524734039169,1772524734039929,BTCUSDT,68181.68000000,0.00037000,0
1772524731333591200,1772524734039169,1772524734039930,BTCUSDT,68182.75000000,0.00008000,0
1772524731333634100,1772524734039169,1772524734039931,BTCUSDT,68182.76000000,0.00008000,0
1772524731333679800,1772524734039169,1772524734039931,BTCUSDT,68182.84000000,0.00008000,0
1772524731333717500,1772524734039169,1772524734039932,BTCUSDT,68182.85000000,0.00673000,0
1772524731335248900,1772524734042342,1772524734044527,BTCUSDT,68183.24000000,0.00444000,0
1772524731335315800,1772524734042342,1772524734044531,BTCUSDT,68183.25000000,0.00016000,0
1772524731335367100,1772524734042342,1772524734044531,BTCUSDT,68183.69000000,0.00284000,0
1772524731335407200,1772524734042342,1772524734044532,BTCUSDT,68184.40000000,0.00416000,0
1772524731335446000,1772524734042342,1772524734044533,BTCUSDT,68184.41000000,0.00840000,0
1772524731338230700,1772524734044236,1772524734047628,BTCUSDT,68184.41000000,0.04000000,0
1772524731339543900,1772524734044573,1772524734048406,BTCUSDT,68184.41000000,0.01387000,0
1772524731339602000,1772524734044573,1772524734048410,BTCUSDT,68184.73000000,0.00032000,0
1772524731339641600,1772524734044573,1772524734048411,BTCUSDT,68184.74000000,0.00016000,0
1772524731339680100,1772524734044573,1772524734048411,BTCUSDT,68185.22000000,0.00032000,0
1772524731339717300,1772524734044573,1772524734048412,BTCUSDT,68185.23000000,0.00016000,0
1772524731339754000,1772524734044573,1772524734048413,BTCUSDT,68185.60000000,0.00009000,0
1772524731339799600,1772524734044573,1772524734048413,BTCUSDT,68186.10000000,0.00008000,0
1772524731339848400,1772524734044573,1772524734048414,BTCUSDT,68186.82000000,0.00015000,0
1772524731339885900,1772524734044573,1772524734048414,BTCUSDT,68187.39000000,0.00095000,0
1772524731339922900,1772524734044573,1772524734048415,BTCUSDT,68187.42000000,0.00032000,0
1772524731339960000,1772524734044573,1772524734048416,BTCUSDT,68187.43000000,0.00358000,0
1772524731339999200,1772524734044751,1772524734048656,BTCUSDT,68187.43000000,0.01000000,0
1772524731342670300,1772524734046994,1772524734051088,BTCUSDT,68187.43000000,0.00073000,0
1772524731342793400,1772524734047678,1772524734051578,BTCUSDT,68187.43000000,0.00100000,0
1772524731353149600,1772524734055227,1772524734058595,BTCUSDT,68187.43000000,0.08699000,0
1772524731353288300,1772524734055227,1772524734058599,BTCUSDT,68187.44000000,0.00073000,0
1772524731353359300,1772524734055227,1772524734058601,BTCUSDT,68187.45000000,0.00009000,0
1772524731353425000,1772524734055227,1772524734058601,BTCUSDT,68187.62000000,0.00012000,0
1772524731353489100,1772524734055227,1772524734058602,BTCUSDT,68188.00000000,0.00020000,0
1772524731353552700,1772524734055227,1772524734058603,BTCUSDT,68188.16000000,0.00009000,0
1772524731353615400,1772524734055227,1772524734058604,BTCUSDT,68188.38000000,0.00032000,0
1772524731353677600,1772524734055227,1772524734058604,BTCUSDT,68188.39000000,0.00206000,0
1772524731353744200,1772524734055227,1772524734058605,BTCUSDT,68189.08000000,0.00015000,0
1772524731523396400,1772524734231855,1772524734232290,BTCUSDT,68189.07000000,0.00070000,1
1772524731530798200,1772524734239364,1772524734239752,BTCUSDT,68189.08000000,0.02000000,0
1772524731800903000,1772524734509016,1772524734509329,BTCUSDT,68189.07000000,0.00651000,1
1772524732241605800,1772524734950397,1772524734950787,BTCUSDT,68189.08000000,0.00551000,0
1772524732290044100,1772524734997975,1772524734998267,BTCUSDT,68189.08000000,0.00422000,0
1772524732627419100,1772524735335531,1772524735335801,BTCUSDT,68189.07000000,0.01502000,1
1772524732767003000,1772524735473270,1772524735473542,BTCUSDT,68189.08000000,0.00145000,0
1772524733188880200,1772524735896694,1772524735896966,BTCUSDT,68189.07000000,0.03549000,1
1772524733584110200,1772524736292081,1772524736292362,BTCUSDT,68189.07000000,0.00012000,1
1772524733594829200,1772524736303401,1772524736303654,BTCUSDT,68189.07000000,0.08526000,1
1772524733674577100,1772524736383250,1772524736383505,BTCUSDT,68189.07000000,0.00043000,1
1772524734059465600,1772524736768016,1772524736768280,BTCUSDT,68189.07000000,0.00043000,1
1772524734417339000,1772524737126329,1772524737126805,BTCUSDT,68189.07000000,0.00046000,1
1772524735372159300,1772524738081238,1772524738081584,BTCUSDT,68189.08000000,0.00319000,0
1772524735838430200,1772524738546815,1772524738547070,BTCUSDT,68189.07000000,0.00123000,1
1772524735845330700,1772524738554591,1772524738554848,BTCUSDT,68189.07000000,0.00123000,1
1772524735945725300,1772524738653919,1772524738654229,BTCUSDT,68189.08000000,0.00015000,0
1772524736319353800,1772524739028020,1772524739028325,BTCUSDT,68189.07000000,0.00033000,1
1772524736363566800,1772524739072113,1772524739072416,BTCUSDT,68189.08000000,0.00300000,0
1772524736587147300,1772524739296535,1772524739296801,BTCUSDT,68189.08000000,0.00009000,0
1772524736776522300,1772524739484703,1772524739485023,BTCUSDT,68189.08000000,0.00239000,0
1772524737379429300,1772524740086666,1772524740087181,BTCUSDT,68189.07000000,0.08527000,1
1772524737396806200,1772524740102559,1772524740102887,BTCUSDT,68189.07000000,0.00012000,1
1772524737426051700,1772524740134221,1772524740134513,BTCUSDT,68189.08000000,0.00078000,0
1772524737633119600,1772524740342144,1772524740342543,BTCUSDT,68189.08000000,0.00881000,0
1772524737716744200,1772524740425195,1772524740425582,BTCUSDT,68189.07000000,0.00513000,1
1772524737732930400,1772524740441332,1772524740441640,BTCUSDT,68189.08000000,0.00073000,0
1772524737733704200,1772524740443282,1772524740443687,BTCUSDT,68189.08000000,0.00038000,0
1772524737792668500,1772524740500935,1772524740501273,BTCUSDT,68189.07000000,0.00449000,1
1772524737803186100,1772524740511335,1772524740511663,BTCUSDT,68189.07000000,0.00108000,1
1772524737958460400,1772524740666865,1772524740667501,BTCUSDT,68189.07000000,0.03818000,1
1772524737958625500,1772524740666903,1772524740667614,BTCUSDT,68189.07000000,0.00192000,1
1772524737960465000,1772524740668651,1772524740669268,BTCUSDT,68189.06000000,0.00040000,1
1772524737960632800,1772524740668651,1772524740669272,BTCUSDT,68189.00000000,0.00008000,1
1772524737960730800,1772524740668651,1772524740669273,BTCUSDT,68188.33000000,0.00008000,1
1772524737960885900,1772524740668651,1772524740669274,BTCUSDT,68188.32000000,0.00017000,1
1772524737960994300,1772524740668651,1772524740669274,BTCUSDT,68188.31000000,0.04516000,1
1772524737974586900,1772524740683439,1772524740683901,BTCUSDT,68188.32000000,0.00041000,0
1772524737989023400,1772524740697244,1772524740697755,BTCUSDT,68188.31000000,0.00187000,1
1772524737989252300,1772524740697244,1772524740697759,BTCUSDT,68188.30000000,0.00016000,1
1772524738018564900,1772524740725941,1772524740726465,BTCUSDT,68187.78000000,0.00130000,1
1772524738036739900,1772524740744689,1772524740745261,BTCUSDT,68187.77000000,0.00126000,1
1772524738036901800,1772524740744689,1772524740745265,BTCUSDT,68187.76000000,0.00016000,1
1772524738038981400,1772524740747892,1772524740748744,BTCUSDT,68186.10000000,0.00048000,1
1772524738091864400,1772524740800019,1772524740800568,BTCUSDT,68184.96000000,0.00377000,1
1772524738092076000,1772524740800019,1772524740800572,BTCUSDT,68184.95000000,0.00032000,1
1772524738092183600,1772524740800019,1772524740800573,BTCUSDT,68184.38000000,0.00008000,1
1772524738092299900,1772524740800019,1772524740800574,BTCUSDT,68183.25000000,0.00008000,1
1772524738092424700,1772524740800019,1772524740800575,BTCUSDT,68183.05000000,0.00008000,1
1772524738188747900,1772524740897161,1772524740897724,BTCUSDT,68183.04000000,0.00258000,1
1772524738188901100,1772524740897161,1772524740897730,BTCUSDT,68183.03000000,0.00065000,1
1772524738188996000,1772524740897161,1772524740897731,BTCUSDT,68182.78000000,0.00008000,1
1772524738189082900,1772524740897161,1772524740897731,BTCUSDT,68182.77000000,0.00721000,1
