recorded_at,wallet,wallet_label,coin,market_type,slug,side,size_usd,price,trade_timestamp,seconds_into_market,gap_at_time,gap_seconds_diff,both_sides_flag
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,eth,15m,eth-updown-15m-1772442000,UP,1.996826,0.5400001352146194,1772442405,405,,,False
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,eth,15m,eth-updown-15m-1772442000,UP,2.7,0.54,1772442405,405,,,False
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,25.5,0.5,1772442405,105,-0.05,20.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,15m,btc-updown-15m-1772442000,UP,81.59,0.41,1772442405,405,,,False
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,eth,15m,eth-updown-15m-1772442000,UP,2.076246,0.5300000382902632,1772442403,403,,,False
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,DOWN,8.55,0.57,1772442389,89,-0.05,36.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,DOWN,2.907,0.57,1772442389,89,-0.05,36.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,DOWN,8.55,0.57,1772442389,89,-0.05,36.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,DOWN,1.653,0.57,1772442389,89,-0.05,36.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,DOWN,7.41,0.57,1772442389,89,-0.05,36.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,15m,btc-updown-15m-1772442000,UP,0.515151,0.34,1772442387,387,,,False
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,9.420322,0.3800000008067665,1772442387,87,-0.05,38.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,15m,btc-updown-15m-1772442000,UP,1.030303,0.3400001056000359,1772442387,387,,,False
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,15m,btc-updown-15m-1772442000,UP,1.7,0.34,1772442387,387,,,False
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,15m,btc-updown-15m-1772442000,UP,1.7,0.34,1772442387,387,,,False
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,1.9,0.38,1772442387,87,-0.05,38.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,15m,btc-updown-15m-1772442000,UP,1.725757,0.3400000591045076,1772442387,387,,,False
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,15m,btc-updown-15m-1772442000,UP,24.0278,0.34,1772442387,387,,,False
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,20.5205,0.4023627450980392,1772442387,87,-0.05,38.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,eth,15m,eth-updown-15m-1772442000,DOWN,2.184,0.52,1772442383,383,,,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,0.7,0.35,1772442379,79,-0.05,46.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,0.999999,0.3499998774999204,1772442379,79,-0.05,46.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,0.357,0.35,1772442379,79,-0.05,46.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,3.799999,0.3499999677631524,1772442379,79,-0.05,46.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,2.758,0.35,1772442379,79,-0.05,46.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,3.799999,0.35999995831578335,1772442377,77,-0.05,48.0,True
2026-03-02T09:07:03.507158+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772442300,UP,3.5,0.35,1772442377,77,-0.05,48.0,True
2026-03-02T09:07:03.507158+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,5m,btc-updown-5m-1772442300,DOWN,49.95,0.45,1772442413,113,-0.05,12.0,False
2026-03-02T09:07:03.507158+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,5m,btc-updown-5m-1772442300,DOWN,48.84,0.44,1772442413,113,-0.05,12.0,False
2026-03-02T09:07:03.507158+00:00,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x8dxd,btc,5m,btc-updown-5m-1772442300,DOWN,47.73,0.43,1772442413,113,-0.05,12.0,False
