recorded_at,wallet,wallet_label,coin,market_type,slug,side,size_usd,price,trade_timestamp,gap_at_time,gap_seconds_diff,both_sides_flag
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,DOWN,27.662222,0.6400000129562986,1772376915,-0.98,16,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,DOWN,1.7728,0.64,1772376915,-0.98,16,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,DOWN,3.2,0.64,1772376915,-0.98,16,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,DOWN,33.15,0.65,1772376915,-0.98,16,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,DOWN,1.173913,0.5400002392001149,1772376913,-0.98,18,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,DOWN,5.517391,0.5400000391489411,1772376913,-0.98,18,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,15.2152,0.38,1772376913,-0.98,18,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,15m,btc-updown-15m-1772376300,UP,75.44,0.41,1772376913,-0.98,18,False
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,4.1648,0.38,1772376913,-0.98,18,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,5.55,0.37,1772376913,-0.98,18,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,11.088,0.36,1772376913,-0.98,18,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,13.32,0.37,1772376913,-0.98,18,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,15m,btc-updown-15m-1772376300,UP,77.28,0.42,1772376913,-0.98,18,False
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,7.272,0.36,1772376913,-0.98,18,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,UP,17.85,0.35,1772376913,-0.98,18,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,DOWN,4.986782,0.5400000281544305,1772376911,-0.98,20,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,DOWN,2.347826,0.5400001150000288,1772376911,-0.98,20,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,DOWN,2.7486,0.54,1772376911,-0.98,20,True
2026-03-01T14:55:28.090179+00:00,0xd0d6053c3c37e727402d84c14069780d360993aa,k9Q2mX4L8A7ZP3R,btc,5m,btc-updown-5m-1772376900,DOWN,1.107,0.54,1772376911,-0.98,20,True
